Name,Birthdate,Score,Grade
Sherri,21/12/2002,Not Available,C
Shaun,22/12/1967,93,C
Cynthia,21/12/1998,89,C
Emily,28/06/1973,Not Available,C
Angela,16/03/1964,Not Available,A
Ryan,15/08/1980,75,C
Alexa,16/02/1995,82,B
Robert,16/12/2003,98,B
Michael,13/01/1987,77,B
Chris,14/11/1969,Not Available,A
Ryan,23/07/1988,Not Available,C
Amber,25/09/1964,78,B
David,01/04/1965,72,C
Michael,05/05/1988,94,C
Elizabeth,12/09/2004,67,A
Kari,17/12/1997,71,A
Robert,11/09/1984,Not Available,B
Curtis,01/12/1986,Not Available,A
Chad,13/08/1965,66,A
Stacie,15/03/1982,Not Available,A
Joan,28/10/1970,Not Available,C
Brian,20/09/1968,84,C
Nicole,17/12/1963,76,C
Jennifer,19/01/1979,73,B
Michael,22/11/1978,81,C
Steven,25/04/1996,68,B
Patricia,01/02/1998,Not Available,C
Jennifer,27/06/2001,Not Available,B
Shannon,18/07/1986,Not Available,C
Tracy,09/02/1977,80,C
Victor,07/12/2001,96,A
Garrett,12/04/1975,Not Available,C
Felicia,30/11/1974,68,B
April,01/09/2001,Not Available,C
Natasha,15/03/1999,Not Available,C
Tommy,16/09/1983,68,A
Roy,15/12/1999,Not Available,C
Kerry,24/11/1985,70,B
Dean,31/12/1995,Not Available,A
Elizabeth,16/06/1972,96,A
Kelly,04/06/1993,60,B
Bradley,03/12/1988,76,B
Brandon,25/09/1976,70,C
Carla,19/08/1970,Not Available,C
Sabrina,15/06/1986,Not Available,B
Victoria,25/01/1985,Not Available,A
Sara,28/10/1966,Not Available,B
Andrea,07/06/1981,66,C
Monica,16/06/1969,63,B
Ronald,30/04/1991,Not Available,A
Frank,22/04/1994,Not Available,B
Lindsey,30/07/1999,96,C
Sherry,02/11/1967,Not Available,C
Jesse,31/07/1980,89,B
Cameron,05/05/1969,Not Available,C
Justin,15/09/1996,96,A
Latasha,14/03/1977,Not Available,B
Edward,25/08/1973,Not Available,C
Barbara,07/08/2002,97,C
Marissa,23/09/1987,60,C
Carrie,16/12/1964,84,A
Barbara,08/05/1999,81,C
Daniel,18/03/1986,72,A
Brian,01/07/1993,Not Available,A
Richard,25/11/1986,Not Available,A
Amber,26/04/1999,Not Available,B
Sheryl,19/12/1969,84,B
Molly,19/01/1977,88,C
David,14/07/1987,Not Available,C
