Name,Birthdate,Score,Grade
Laura,16/02/2000,69,A
Linda,29/11/1966,58,C
Heather,12/07/1980,Not Available,A
James,13/11/1995,98,C
Alexis,14/04/1975,86,C
Rebecca,12/06/1983,Not Available,B
Sue,03/11/1965,79,B
Jessica,04/12/1999,Not Available,B
Christopher,07/02/1990,70,A
Jared,27/01/1991,Not Available,B
Robert,26/01/1969,Not Available,A
Edwin,28/04/1964,60,B
James,17/07/1969,87,D
Elizabeth,01/01/1971,70,B
Christopher,31/12/1970,84,B
Charles,13/05/1981,61,D
Dillon,30/12/1993,98,B
Larry,28/02/1986,51,D
Richard,22/03/1986,93,B
Kelsey,06/01/1968,73,D
Kimberly,01/07/1978,53,B
Harry,25/10/1993,81,C
Lisa,14/09/1997,Not Available,B
Danielle,14/05/1985,59,B
Sarah,19/09/1972,94,A
William,01/07/1977,74,C
Denise,13/04/1990,85,D
Philip,06/07/1987,77,A
Paul,22/11/1983,80,C
David,09/04/1977,65,B
Alan,03/05/1964,72,D
Paul,18/06/2002,Not Available,C
William,10/09/1975,Not Available,D
Megan,27/04/1997,87,A
Justin,31/07/1998,Not Available,A
David,30/08/1964,51,A
Sharon,25/08/1980,76,A
Andrea,01/09/1996,Not Available,C
Ashley,30/11/1996,64,D
Nicole,23/10/1991,91,B
Vincent,28/03/1998,69,C
Daniel,08/09/1971,64,C
Marilyn,02/01/1989,70,B
Cory,01/10/1974,69,B
Heather,18/07/1977,63,A
Jennifer,21/08/1976,99,A
Kenneth,31/05/1984,96,C
Nicholas,21/05/1982,70,B
Tiffany,20/05/1994,Not Available,A
Christopher,08/07/1991,87,B
Todd,12/06/1993,86,A
Timothy,27/08/1976,73,C
Christopher,06/02/1995,56,D
Christine,23/02/1971,88,A
Megan,09/05/1977,70,D
Megan,27/12/2000,95,C
Sara,07/06/1997,74,B
Craig,06/11/1999,56,D
Steven,23/06/1987,65,C
Stacy,02/12/1997,68,C
Jeffery,22/05/2000,97,D
Tina,19/10/1997,74,C
Steven,24/04/1976,78,B
Seth,23/08/2000,56,D
Jessica,06/07/1974,59,B
Jordan,08/10/1967,Not Available,A
Laura,28/09/2002,53,A
Erin,11/07/1983,53,A
Michael,17/09/1964,Not Available,B
Brian,18/08/1980,69,C
Rhonda,09/03/1974,Not Available,C
Ashley,26/12/1986,68,B
Morgan,23/06/2004,Not Available,C
Dennis,02/07/1995,62,C
Kevin,11/12/1997,85,C
Katherine,09/09/1998,61,C
Cheryl,30/10/1990,Not Available,A
Debra,18/01/1986,64,B
Kent,04/10/2004,84,C
Michelle,06/11/1973,84,A
Tracy,04/11/1997,91,B
Randall,21/02/1987,63,D
Angela,05/02/1972,60,D
Laura,11/06/1966,Not Available,D
Melvin,19/04/2000,62,B
Ashley,27/07/1994,86,B
Chelsea,14/11/1974,93,A
Meagan,23/09/1972,56,B
Helen,29/07/1965,72,C
Jennifer,24/03/1990,87,B
Michael,14/04/2000,Not Available,A
Scott,08/06/1965,66,A
Amanda,10/01/1976,Not Available,A
Cheryl,23/09/2002,87,B
Pedro,03/08/1973,83,B
Robert,20/09/1974,97,C
Christopher,03/01/2000,95,C
Justin,14/03/1984,82,A
Jacob,15/11/1989,88,A
Nathan,23/10/1993,83,C
Anna,16/03/1970,95,B
Matthew,23/12/1993,53,B
Gregory,11/02/1968,56,C
Nicole,31/10/1987,93,C
Lauren,11/05/1965,Not Available,D
Mary,05/07/2001,92,A
Dawn,07/02/2001,90,D
Sandra,13/05/1973,53,B
Larry,25/01/1992,89,C
Danielle,04/05/1970,86,A
James,14/02/1994,91,A
William,09/01/1983,56,C
Adriana,18/06/1981,83,D
Charles,11/01/1995,72,A
Matthew,07/03/1996,71,B
Alison,14/12/1980,Not Available,D
Shawn,19/02/1990,67,B
Daniel,02/04/1988,69,A
Eric,22/04/2002,90,B
Jill,24/11/1990,97,B
Nicholas,30/10/1986,52,C
